title,tag,weather,time,cost,copy,copy_one,copy_two,DateNumber,neighborhood,link
15 East,Restaurant,All,Day and Night,$$$,You should...,get sushi at 15 East near Union Square,and then go all porno on each other. ,Any,M,http://15eastrestaurant.com/
Agoda,Activity,All,Night,$$,You should...,go to Agoda near City Hall,and experience the only decent all-you-can-drink sushi in the city.,2+,M,http://agodaasiancuisine.com/
Allswell,Restaurant,All,Day and Night,$$,You should...,eat at Allswell in Williamsburg,"and if you have sex, make it safe sex. ",Any,B,http://allswellnyc.com/
Anthology Film Archive,Activity,All,Day and Night,$,You should...,go to the Anthology Film Archive,and talk about the last great movie you saw. ,2+,M,http://anthologyfilmarchives.org/
Batting cages @ Astoria Sports Complex,Activity,All,Day,$$,You should...,go to the batting cages at Astoria Sports Complex,and keep your elbow up.,Any,N,http://ascsports1.com/
Aurora,Restaurant,All,Day and Night,$$,You should...,grab a bite at Aurora in williamsburg,"and clean your apartment's bathroom, because your date's gonna use it later that night. ",Any,B,http://aurorabk.com/
Barcade Brooklyn,Activity,All,Day and Night,$$,You should...,go to Barcade Brooklyn,and don't press your date's buttons. ,Any,B,http://barcadebrooklyn.com/
Barcade Chelsea,Activity,All,Day and Night,$$,You should...,go to Barcade Chelsea,"and remember, nerds get laid too. ",Any,M,http://barcadenewyork.com/
Barcade St. Marks,Activity,All,Day and Night,$$,You should...,go to Barcade St. Marks,and woo your date with your sweet video game skills. ,Any,M,http://barcadestmarks.com/
BARC,Activity,All,Day,Free,You should...,walk a shelter dog from BARC in Williamsburg,"and when you're done petting the dog, pet each other.",2+,B,http://barcshelter.org/
Bayside! The Musical!,Activity,All,Night,$$,You should...,get tickets to Bayside! The Musical!,and talk about how you liked high school. ,2+,M,http://baysidethemusical.com/
Best Pizza,Restaurant,All,Day and Night,$$,You should...,go to Best Pizza in Williamsburg,no guarantees the name is accurate. ,Any,B,http://best.piz.za.com/
Big Hing Wong,Restaurant,All,Day and Night,$,You should...,eat at Big Hing Wong on the LES,and allow yourself to imagine your date naked. ,Any,M,http://bighingwong.com/
Bin 71,Bar,All,Day and Night,$$$,You should...,have some wine at Bin 71 on the Upper West,and debate the value of a liberal arts education. ,Any,M,http://bin71.com/
Brooklyn Night Bazaar,Activity,All,Night,$$,You should...,go to Brooklyn Night Bazaar,and get a little bizarre. ,Any,B,http://bkbazaar.com/
Record shopping @ Black Gold,Activity,All,Day,$$,You should...,shop for records at Black Gold in Carroll Gardens,and make fun of the other hipsters there.,2+,B,http://blackgoldbrooklyn.com/
Black mountain wine house,Bar,All,Day and Night,$$,You should...,go to Black Mountain Wine House in Carroll Gardens,and have wine in the shadows. ,Any,B,http://blackmountainwinehouse.com/
Bleecker Street Bar,Bar,All,Day and Night,$$,You should...,go to Bleecker Street Bar,and bet a kiss you can beat your date at darts.,Any,M,http://bleeckerstreetbarnyc.com/
Blossom Du Jour,Restaurant,All,Day and Night,$$,You should...,eat vegan Blossom Du Jour on 23rd Street,and watch your date's desire blossom in front of you. ,Any,M,http://blossomdujour.com/
Bohemian Beer Garden,Bar,Warm,Day and Night,$$,You should...,go to Bohemian Beer Garden in Queens,"and when you hug your date, make it a good one. ",All,N,http://bohemianhall.com/
Brinkley's,Bar,All,Day and Night,$$,You should...,drink drinks at Brinkley's in SoHo,and flirt with the friendly staff while your date is in the bathroom.,Any,M,http://brinkleysbroomestreet.com/
Bronx zoo,Activity,Warm,Day,$$,You should...,take a trip to the Bronx Zoo,and laugh at all the funny things that animals do. ,Any,N,http://bronxzoo.com/
Brooklyn Boulders,Activity,All,Day,$$$,You should...,go climbing at Brooklyn Boulders,and then climb all over each other.,2+,B,http://brooklynboulders.com/brooklyn/
Brooklyn Lager Tour,Activity,All,Day,Free,You should...,go on the Brooklyn Brewery tour,and get a little tipsy while you get a little frisky.,Any,B,http://brooklynbrewery.com/visit/visiting-the-brooklyn-brewery
Brooklyn Crab,Restaurant,Warm,Day and Night,$$$,You should...,go to Brooklyn Crab in Red Hook,and hope your date doesn't have crabs. ,Any,B,http://brooklyncrab.com/
Brooklyn Farmacy,Activity,All,Day and Night,$$,You should...,go to Brooklyn Farmacy,and flip a coin to see which of you will tell the clerk their name is spelled wrong. ,Any,B,http://brooklynfarmacy.blogspot.com/
Brooklyn Flea,Activity,All,Day,$,You should...,go shopping at Brooklyn Flea,and find something to put in the apartment you'll share one day. ,Any,B,http://brooklynflea.com/
Brooklyn Poets Yawp (Irregular),Activity,All,Night,$,You should...,check out the Brooklyn Poets Yawp,but check the schedule first.,Any,B,http://brooklynpoets.org/events/yawp/
Cacio e Pepe,Restaurant,All,Day and Night,$$,You should...,go to Cacio e Pepe in the East Village,and insist on ordering the cacio e pepe. ,Any,M,http://cacioepepeny.com/
Cafe Colette,Coffee,All,Day,$,You should...,get coffee at Cafe Colette in Williamsburg,and French kiss. ,Any,B,http://cafe-colette.com/
Cafe Grumpy Essex Street,Coffee,All,Day,$,You should...,go to Cafe Grumpy Essex Street,and give the barista a big tip because it's the right thing to do. ,Any,M,http://cafegrumpy.com/
Cafe Grumpy Greenpoint,Coffee,All,Day,$,You should...,get coffee at Cafe Grumpy Greenpoint,and see if you both know the same foreign language. ,Any,B,http://cafegrumpy.com/
Cafe Grumpy Park Slope,Coffee,All,Day,$,You should...,go to Cafe Grumpy Park Slope,and let your date know if they get cappuccino foam on their nose. ,Any,B,http://cafegrumpy.com/locations/park-slope/
Cafe Rakka,Restaurant,All,Day and Night,$,You should...,go to Cafe Rakka in the East Village,and don't think about meeting your date's parents. ,Any,M,http://caferakkanyc.com/food-delivery-TW/cafe-rakka-new-york-city.8545.r?QueryStringValue=VCKPRTZn1EZY5WThDk1ISw==
Propeller Coffee,Coffee,All,Day,$,You should...,go to Propeller Coffee in Greenpoint,but first suggest that you go and get some caramels. ,Any,B,http://cargocollective.com/propellercoffee
Casa Mono,Restaurant,All,Day and Night,$$$,You should...,eat at Casa Mono by Union Square,and don't be afraid to play footsie. ,Any,M,http://casamononyc.com/
Cata,Restaurant,All,Day and Night,$$,You should...,get tapas at Cata on Bowery,and talk about what scares you most. ,Any,M,http://catarestaurant.com/
Charlie Bird,Restaurant,All,Day and Night,$$,You should...,eat at Charlie Bird in Soho,but not if your date's named Charlie. ,Any,M,http://charliebirdnyc.com/
City Sandwich,Restaurant,All,Day and Night,$$,You should...,go to City Sandwich in Hell's Kitchen,"and have a threesome, then refer to it as your ""City Sandwich Night.""",Any,M,http://citysandwichnyc.com/
Clinton Hall,Bar,All,Day and Night,$$,You should...,drink a beer at Clinton Hall in FiDi,and discuss privacy in the Internet age. ,Any,M,http://clintonhallny.com/
Colonie,Restaurant,All,Day and Night,$$$,You should...,eat at Colonie in Brooklyn Heights,and then colonize your date's ass. ,Any,B,http://colonienyc.com/
Commerce,Restaurant,All,Day and Night,$$$,You should...,eat at Commerce in the West Village,and then be gentle. ,Any,M,http://commercerestaurant.com/
Coney Island,Activity,Warm,Day,$,You should...,take a trip to Coney Island,and kiss at the top of the Ferris Wheel.,Any,B,http://coneyislandfunguide.com/
Contra,Restaurant,All,Day and Night,$$$,You should...,eat dinner at Contra on Orchard Street,and then do the horizontal polka. ,Any,M,http://contranyc.com/
The Cotton Club,Activity,All,Day and Night,$$,You should...,go to The Cotton Club in Harlem,and spin your date in circles. ,2+,M,http://cottonclub-newyork.com/
Pottery class,Activity,All,Day and Night,$$$,You should...,take a pottery class together,and learn how to caress each other's bodies. ,2+,"B, M",http://coursehorse.com/pottery-classes-nyc
Roller disco in Central Park,Activity,Warm,Day,Free,You should...,watch the roller disco in Central Park,and let your hands brush up against each other's. ,Any,M,http://cpdsa.org/
Dance class @ Dance with me Soho,Activity,All,Day and Night,$$,You should...,take a dance class at Dance With Me,and see who can shake their booty better.,2+,M,http://dancewithmeusa.com/locations/dance-studio-soho-nyc/
DeKalb Restaurant,Restaurant,All,Day and Night,$$,You should...,go to DeKalb Restaurant,and wink at your date during the meal just to see how they'll respond. ,Any,B,http://dekalbrestaurant.com/
Delaware and Hudson,Restaurant,All,Day and Night,$$$,You should...,go to Delaware and Hudson in Williamsburg,and share a dessert. ,Any,B,http://delawareandhudson.com/
Desnuda Brooklyn,Restaurant,All,Day and Night,$$$,You should...,eat at Desnuda Brooklyn,and then get nude. ,Any,B,http://desnudany.com/main.php
Desnuda Manhattan,Restaurant,All,Day and Night,$$$,You should...,eat at Desnuda in the East Village,"which means ""Nude Manhattan"" in Spanish. ",Any,M,http://desnudany.com/main.php
El Aguila,Restaurant,All,Day and Night,$,You should...,eat at El Aguila in Harlem,any hour of the day. Perfect for a 3 a.m. date. ,Any,M,http://elaguilanewyorkrestaurant.com/web_eng/
elan,Restaurant,All,Day and Night,$$$,You should...,eat at elan in Flatiron,"and when you walk out, play a game of ""Penis.""",Any,M,http://elannyc.com/
Extra Virgin,Restaurant,All,Day and Night,$$,You should...,eat at Extra Virgin in the West Village,"and by the end of the night, you won't be a virgin. ",Any,M,http://extravirginrestaurant.com/
Faces & Names,Bar,All,Day and Night,$$,You should...,drink at Faces & Names in Midtown,and get ready to be screaming your date's name in the throes of ecstasy.,Any,M,http://facesandnames.com/
Film Forum,Activity,All,Day and Night,$,You should...,check out Film Forum,and hold hands during the movie. ,2+,M,http://filmforum.org/
Five Leaves,Coffee,All,Day,$,You should...,get coffee at Five Leaves in Greenpoint,and wonder if you'll never have another first date again. ,Any,B,http://fiveleavesny.com/
Foragers City Table,Restaurant,All,Day and Night,$$$,You should...,go to Foragers City Table in Chelsea,"and if you get naked later that night, make sure you're the more generous lover. ",Any,M,http://foragersmarket.com/
Fuerza Bruta,Activity,All,Night,$$$,You should...,get tickets to Fuerza Bruta,and be ready for a fucking experience. ,2+,M,http://fuerzabrutanyc.com/
Whiskey Park,Bar,All,Day and Night,$$$,You should...,go to Whiskey Park below Central Park,"and kiss your date on the cheek first, then go in for the real thing. ",Any,M,http://gerberbars.com/whiskey-park-ny
Glasserie,Restaurant,All,Day and Night,$$,You should...,get dinner at Glasserie in Greenpoint,"and go back to their place, not yours. ",Any,B,http://glasserienyc.com/
Gorilla Coffee,Coffee,All,Day,$,You should...,go to Gorilla Coffee in Park Slope,and imagine introducing your date to your parents. ,Any,B,http://gorillacoffee.com/
Gotham West Market,Restaurant,All,Day and Night,$$,You should...,go to Gotham West Market,and have one of everything.,Any,M,http://gothamwestmarket.com/
Guy Fieri's American Bar and Grill,Restaurant,All,Day and Night,$$$,You should...,take your date to Guy Fieri's American Bar and Grill,if you want to test your date's sense of humor.,Any,M,http://guysamerican.com/
Harlem Tavern,Bar,All,Day and Night,$$,You should...,go to Harlem Tavern,and just be yourself. With someone else. ,Any,M,http://harlemtavern.com/
Headless Horseman,Bar,All,Day and Night,$$,You should...,drink at Headless Horseman in the East Village,"and if you play your cards right, you won't be headless by the end of the night. ",Any,M,http://headlesshorsemannyc.com/
High Dive,Bar,All,Day and Night,$,You should...,have a beer at High Dive in Park Slope,but you don't have to bring a bathing suit. ,Any,B,http://highdivebrooklyn.com/
Highlands,Bar,All,Day and Night,$$,You should...,drink scotch at Highlands in the West Village,but don't get high before you go. ,Any,M,http://highlands-nyc.com/
Hogs & Heifers,Bar,All,Night,$$,You should...,go to Hogs & Heifers Saloon in the West Village,and agree it's OK to ogle the bartenders.,Dating,M,http://hogsandheifers.com/
Home Sweet Home,Activity,All,Night,$,You should...,have a drink at Home Sweet Home on the LES,and dance before you bring your date home.,2+,M,http://homesweethomebar.com/
House of Lasagna,Restaurant,All,Day and Night,$$,You should...,go to House of Lasagna in Midtown,"and if your date doesn't order the lasagna, walk away. ",Any,M,http://houseoflasagnanyc.com/
Hudson Clearwater,Restaurant,All,Day and Night,$$$,You should...,go to Hudson Clearwater in the West Village,and talk about the last concert your date went to. ,Any,M,http://hudsonclearwater.com/
Iron Horse,Bar,All,Day and Night,$,You should...,have a beer at Iron Horse in FiDi,"and hit on the bartenders, whether you're a guy or a girl. ",Dating,M,http://ironhorsenyc.com/
Jack the Horse,Bar,All,Day and Night,$$,You should...,eat and drink at Jack the Horse in Brooklyn Heights,and ask your date what their spirit animal is. ,Any,B,http://jackthehorse.com/
Jacob's Pickles,Bar,All,Day and Night,$$,You should...,have a beer at Jacob's Pickles on the Upper West,"and then do pickle stuff later, if you feel like it. ",Any,M,http://jacobspickles.com/
James,Restaurant,All,Day and Night,$$,You should...,go to James Restaurant in Prospect Heights,but not if your date's name is James.,Any,B,http://jamesrestaurantny.com/
Juke Bar,Bar,All,Night,$,You should...,go to Juke Bar in the East Village,"and don't tell your date there's a juke box, because there isn't one.",Any,M,http://jukebarnyc.com/
Kilo Bravo,Bar,All,Day and Night,$,You should...,get full of beer at Kilo Bravo in Williamsburg,and work with your date to memorize the military alphabet. ,Any,B,http://kilobravobar.com/
Kings County Distillery Tour,Activity,All,Day,$,You should...,take the tour at Kings County Distillery in Brooklyn,and learn about each other while you learn about some beer.,Any,B,http://kingscountydistillery.com/
Kingside,Bar,All,Day and Night,$$,You should...,go to the bar at Kingside in Midtown,and don't tell any racist jokes. ,Any,M,http://kingside-restaurant.com/
Skating at Prospect Park,Activity,Cold,Day and Night,$$,You should...,go ice skating at Prospect Park,and have a figure skating competiton with your date.,Any,B,http://lakesidebrooklyn.com/
La Sirene,Restaurant,All,Day and Night,$$$,You should...,get French at La Sirene in Soho,and then go dancing. ,Any,M,http://lasirenenyc.com/
Latin American Restaurant,Restaurant,All,Day and Night,$,You should...,go to Latin American Restaurant on West 26th,you'll never guess what kind of food they serve.,Any,M,http://latinamerican2010.com/
Lavagna,Restaurant,All,Day and Night,$$$,You should...,get Italian at Lavagna in the East Village,"and ask your date to describe their ideal date, then make plans to do that. ",Any,M,http://lavagnanyc.com/
Le Barricou,Restaurant,All,Day and Night,$$,You should...,grab a bite at Le Barricou in Williamsburg,and tell your date a secret you've never told anyone before. ,Any,B,http://lebarricouny.com/
Le Philosophe,Restaurant,All,Day and Night,$$$,You should...,eat at Le Philosophe on Bond Street,and wear something that shows a little skin. ,Any,M,http://lephilosophe.us/
Le Poisson Rouge,Activity,All,Night,$$,You should...,enter Le Poisson Rouge,and dance your face off at '80s and '90s nights.,2+,M,http://lepoissonrouge.com/
